id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1406063591482599424,No,Kitsilano,Private room in home,Private room,2,1,1,55,4.48,3.5,Kitsilano
1406233776704849408,Yes,Renfrew-Collingwood,Entire rental unit,Entire home/apt,4,1,2,132,4.77,2.81,Other
1406277126179703040,No,Downtown,Entire rental unit,Entire home/apt,4,1,1,208,4.83,3.87,Downtown
1406575570618555392,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,2,1,1,80,4.93,2.51,Other
1406710748347412992,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,168,5,1.8,Downtown Eastside
1407323380418905344,Yes,Grandview-Woodland,Entire home,Entire home/apt,4,1,1,96,5,4.41,Other
1407741685932672000,No,Downtown,Entire rental unit,Entire home/apt,6,2,4,283,4.67,3.35,Downtown
1408058763481649408,Yes,Kitsilano,Entire home,Entire home/apt,6,1,2,226,4.75,3.96,Kitsilano
1408350197542469632,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,4,1,2,154,4.86,3.51,Other
1408392250549606912,No,Dunbar Southlands,Other,Private room,1,1,1,45,3,0.5,Other
1408960190991842816,No,Renfrew-Collingwood,Entire home,Entire home/apt,6,4,4,686,5,0.44,Other
1409096612008406528,No,Downtown,Other,Private room,2,1,1,147,NA,NA,Downtown
1409363423981657088,Unknown,Hastings-Sunrise,Entire home,Entire home/apt,6,1,2,217,4.67,2.09,Other
1409499755603619072,No,South Cambie,Entire home,Entire home/apt,2,1,1,103,NA,NA,Other
1409898662141684992,Yes,Mount Pleasant,Other,Entire home/apt,3,1,2,145,4.94,3.43,Mount Pleasant
1410107961886845696,Yes,Downtown,Other,Entire home/apt,2,1,0,229,5,20.62,Downtown
1410271580674526464,Yes,Downtown,Entire rental unit,Entire home/apt,6,2,2,183,4.75,0.81,Downtown
1410395078222052352,No,Oakridge,Other,Entire home/apt,3,1,1,96,NA,NA,Other
1410403504963714304,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,3,1,1,275,5,2,Downtown Eastside
1410410274200338176,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,5,1,2,343,5,0.94,Downtown Eastside
1410429191741483776,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,5,2,2,378,5,4,Downtown Eastside
1411013483469962240,Yes,Downtown,Entire rental unit,Entire home/apt,7,2,3,620,NA,NA,Downtown
1411020099851082752,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,5,2.5,2,713,NA,NA,Downtown Eastside
1411023080445168128,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,5,2.5,2,692,NA,NA,Downtown Eastside
1411076104814189056,Yes,Riley Park,Entire home,Entire home/apt,8,2.5,4,713,5,3.49,Other
1411106235522801152,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,3,1,1,101,4.86,3.26,Downtown Eastside
1411120037149104128,No,Hastings-Sunrise,Entire home,Entire home/apt,4,1,2,230,5,0.34,Other
1411287440644596736,No,Downtown,Entire condo,Entire home/apt,2,1,1,202,4.97,4.39,Downtown
1411715891512807424,Yes,Arbutus Ridge,Entire home,Entire home/apt,4,2,2,158,5,3.61,Other
1411947381633152256,No,West End,Entire rental unit,Entire home/apt,3,1,1,130,2.17,0.93,Other
1412427680306351104,Yes,Downtown,Entire condo,Entire home/apt,4,1,1,184,5,2.21,Downtown
1412591192101602304,No,Riley Park,Entire rental unit,Entire home/apt,4,1,2,280,4.44,1.82,Other
1412724219327973376,Yes,Kitsilano,Entire rental unit,Entire home/apt,5,2,2,252,NA,NA,Kitsilano
1413783619419951360,No,West Point Grey,Private room in home,Private room,2,1.5,1,52,NA,NA,Other
1413795636956290560,No,West Point Grey,Private room in home,Private room,2,1.5,1,44,NA,NA,Other
1413806499558383104,No,Marpole,Private room in home,Private room,2,1,1,48,NA,NA,Other
1413870976295973376,No,Mount Pleasant,Entire rental unit,Entire home/apt,6,2,2,385,1,0.17,Mount Pleasant
1413949903485592064,Yes,Downtown,Entire rental unit,Entire home/apt,5,2,2,224,4.58,7.01,Downtown
1413979324284401920,No,West End,Entire rental unit,Entire home/apt,3,1,1,111,2.6,0.82,Other
1413989594198247680,No,West End,Entire rental unit,Entire home/apt,5,1,2,188,3,0.82,Other
1414853487619884288,Yes,Downtown,Entire condo,Entire home/apt,6,2,2,211,4.78,4.94,Downtown
1415429698330267136,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,2,2,174,4.81,5.75,Downtown Eastside
1416143640113435648,Yes,Oakridge,Other,Entire home/apt,4,1,2,200,NA,NA,Other
1416175360547648256,No,Dunbar Southlands,Entire rental unit,Entire home/apt,2,1,1,102,5,0.37,Other
